code,name,chapter,description,inclusions,source_datasets
J84,Other interstitial pulmonary diseases,Diseases of the respiratory system," A large family of chronic conditions characterized by progressive, irreversible scarring of the deep framework of tissues (the interstitium) that supports the air sacs. This includes conditions like Idiopathic Pulmonary Fibrosis (IPF). The delicate, stretchy tissue between the air sacs becomes inflamed, thick, and is gradually replaced by stiff, hard scar tissue. The lungs lose their elasticity, making them feel like stiff leather, which severely limits how much air they can hold and makes it incredibly difficult for oxygen to pass into the bloodstream.",,National Scotland
J86,Pyothorax,Diseases of the respiratory system,"A severe, advanced complication where a massive, walled-off pocket of active pus collects inside the pleural cavity (the space between the lung and the chest wall).Usually happening when a severe case of bacterial pneumonia is left untreated, the bacteria breach the lung tissue and invade the surrounding chest space. The body tries to trap the infection, creating a thick, painful pocket of infection that presses heavily against the lung, preventing it from expanding.",abscess of: pleura | abscess of: thorax | empyema | pyopneumothorax,National Scotland
J90,"Pleural effusion, not elsewhere classified",Diseases of the respiratory system,"An abnormal buildup of clear fluid in the space between the lung and the inside of the chest wall.The fluid collects outside the lung tissue. As the volume grows (sometimes reaching several liters), it acts like a heavy, expanding weight that physically crushes the lung, causing it to partially deflate.",Pleurisy with effusion,National Scotland
J91,Pleural effusion in conditions classified elsewhere,Diseases of the respiratory system," A fluid buildup around the lungs that is explicitly caused by an outside, diagnosed disease. The fluid accumulation is triggered directly by systemic conditions such as advanced kidney failure, liver cirrhosis, or the spread of cancer cells to the lining of the lungs.",,National Scotland
J93,Pneumothorax,Diseases of the respiratory system," A collapsed lung. Air escapes out of the lung tissue and leaks into the pleural space (the cavity between the lung and the chest wall). As air builds up outside the lung, it creates intense, expanding physical pressure that squashes the lung tissue, causing a section or the entire lung to deflate like a popped balloon.",,National Scotland
J94,Other pleural conditions,Diseases of the respiratory system,"A category for non-infectious, complex fluids filling the chest cavity around the lungs. This includes hemothorax (blood filling the chest cavity after a blood vessel tear) or chylothorax (lymphatic fluid leaking around the lungs).Liquid fills the space surrounding the lung tissue. Because liquid cannot be compressed, it takes up the physical space needed for the lungs to expand, severely restricting a person's ability to pull in air.",,National Scotland
J95,"Postprocedural respiratory disorders, not elsewhere classified",Diseases of the respiratory system,"An administrative category used when a patient develops a severe lung problem as a direct consequence of a surgery, medical procedure, or mechanical ventilation. This covers a wide range of specific post-surgical issues, including:Ventilator-Induced Lung Injury: Damage to the air sacs caused by the high pressure of a breathing machine.Accidental Puncture: A surgical needle or tool accidentally nicking the lung lining during a biopsy, causing a sudden air leak.Post-Surgical Airway Collapse (Atelectasis): Shallow breathing after receiving heavy anesthesia causing sections of the lower lungs to temporarily deflate.",,National Scotland
J96,"Respiratory failure, not elsewhere classified",Diseases of the respiratory system,"A critical, life-threatening medical emergency where the lungs can no longer perform their basic job of gas exchange. The respiratory system fails in one of two ways, or both simultaneously:Hypoxemic (Type 1): The lungs cannot transfer enough fresh oxygen into the bloodstream, causing oxygen levels to plummet.Hypercapnic (Type 2): The lungs cannot physically exhale enough waste carbon dioxide, causing the blood to become highly acidic (respiratory acidosis).",,National Scotland
J98,Other respiratory disorders,Diseases of the respiratory system,"A final diagnostic family tracking structural defects of the deep lung tissues or airway passages that do not fit into infections or chronic diseases.This includes conditions like tracheomalacia (the cartilage walls of the windpipe become floppy and collapse inward during breathing) or interstitial emphysema (air gets trapped in the structural tissue webs between the air sacs, disrupting normal anatomy).",,National Scotland
K00,Disorders of tooth development and eruption,Diseases of the digestive system,"Structural abnormalities that happen when teeth are forming in children, such as missing teeth (anodontia), extra teeth, or teeth erupting out of order.",,National Scotland
K02,Dental caries,Diseases of the digestive system,"The medical term for tooth decay or cavities. Bacteria in the mouth feed on sugars, producing acid that strips away the hard, outer tooth enamel. Over time, this acid eats deep into the tooth's inner layers.",,National Scotland
K12,Stomatitis and related lesions,Diseases of the digestive system,"Active inflammation of the soft tissues lining the inside of the mouth, most commonly including severe canker sores or mouth ulcers.",,National Scotland
K20,Oesophagitis,Diseases of the digestive system, Inflammation and swelling of the lining of the esophagus (the swallowing tube). It is frequently caused by chronic acid reflux or food allergies.,Abscess of oesophagus | Oesophagitis: NOS | Oesophagitis: chemical | Oesophagitis: peptic,National Scotland
K21,Gastro-oesophageal reflux disease,Diseases of the digestive system," Chronic acid reflux. The muscular ring (lower esophageal sphincter) at the top of the stomach is weak or fails to close tightly. Corrosive stomach acid and digestive juices splash upward into the unprotected swallowing tube, chemically burning the lining.",,National Scotland
